span_lower	label	doc_freq	doc_perc(%)	term_freq	lemma	snomedid	umls_cui	original_span	span_normalized	filename
anticuerpos reumatoideos	PROTEINAS	1	0.5	1	anticuerpo reumatoideo			anticuerpos reumatoideos	anticuerpos reumatoideos	32617169_ES
anticuerpos neutralizantes de sarscov2	PROTEINAS	1	0.5	1	anticuerpo neutralizantes de sarscov2			anticuerpos neutralizantes de SARS-CoV-2	anticuerpos neutralizantes de sarscov2	32638347A_ES
anticuerpos monoclonales anticd20	PROTEINAS	1	0.5	1	anticuerpo monoclonal anticd20			anticuerpos monoclonales anti-CD20	anticuerpos monoclonales anticd20	32615155_ES
anticuerpos frente a nmdar	PROTEINAS	1	0.5	1	anticuerpo frente a nmdar			anticuerpos frente a NMDAR	anticuerpos frente a nmdar	32418288_ES
anticuerpos del antigeno	PROTEINAS	1	0.5	1	anticuerpo de+el antígeno			anticuerpos del antígeno	anticuerpos del antígeno	32617169_ES
anticuerpos de peroxidasa	PROTEINAS	1	0.5	1	anticuerpo de peroxidasa			anticuerpos de peroxidasa	anticuerpos de peroxidasa	32294340_ES
anticuerpos antitrombociticos	PROTEINAS	1	0.5	1	anticuerpo antitrombocíticos			anticuerpos antitrombocíticos	anticuerpos antitrombocíticos	32294340_ES
anticuerpos antitirosina fosfatasa IA2	PROTEINAS	1	0.5	1	anticuerpo antitirosina fosfatasa IA2			anticuerpos anti-tirosina fosfatasa IA2	anticuerpos antitirosina fosfatasa IA2	32653960_ES
anticuerpos antitiroglobulinicos	PROTEINAS	1	0.5	1	anticuerpo antitiroglobulínicos			anticuerpos antitiroglobulínicos	anticuerpos antitiroglobulínicos	32418288_ES
anticuerpos antipeptido ciclico	PROTEINAS	1	0.5	1	anticuerpo antipéptido cíclico			anticuerpos antipéptido cíclico	anticuerpos antipéptido cíclico	32635747_ES
anticuerpos antimusculo	PROTEINAS	1	0.5	1	anticuerpo antimúsculo			anticuerpos antimúsculo	anticuerpos antimúsculo	32617169_ES
anticuerpos antimitocondriales	PROTEINAS	1	0.5	1	anticuerpo antimitocondrial	104328008	C2825862	anticuerpos antimitocondriales	anticuerpos antimitocondriales	32617169_ES
anticuerpos antiglucolipidicos	PROTEINAS	1	0.5	1	anticuerpo antiglucolípido			anticuerpos antiglucolipídicos	anticuerpos antiglucolipídicos	32399950_ES
anticuerpos antifosfolipidicos	PROTEINAS	1	0.5	1	anticuerpo antifosfolipídico			anticuerpos antifosfolipídicos	anticuerpos antifosfolipídicos	32588475_ES
